bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.8000000000000003,2.744,2.0,2.006,0.05632051136131492,33.49420914300026
usafabot1,2.6500000000000004,2.593,2.5,2.498,0.05703507692639717,31.742621495000094
usafabot2,2.5,2.421,2.5,2.5025999999999997,0.07904277323070102,30.298194454000622
usafabot3,2.2,2.134,2.0,2.026,0.07093659140387298,29.069053619999977
usafabot4,2.5,2.441,3.0,3.0056,0.05926516683516564,30.436732406000374
usafabot5,2.35,2.226,2.5,2.5262000000000002,0.12673768184719192,35.47097357200073
usafabot6,0.0,-0.001,0.0,3.6,3.6000001388888863,0
usafabot7,0.0,-0.001,0.0,3.8,3.800000131578945,0
usafabot8,0.0,2.399,0.0,6.0,6.4618264445897955,0
usafabot9,0.0,2.599,0.0,6.0,6.538715546649816,0
usafabot10,0.0,2.799,0.0,6.0,6.620755319448076,0
usafabot11,0.0,3.199,0.0,6.0,6.799529469014749,0
usafabot12,0.0,3.399,0.0,6.0,6.895882902138058,0
usafabot13,0.0,3.599,0.0,6.0,6.996627830605255,0
usafabot14,0.0,3.799,0.0,6.0,7.101577359995454,0
usafabot15,0.0,5.999,0.0,3.4,6.8955058552654425,0
usafabot16,0.0,5.999,0.0,3.2,6.7991176633442665,0
usafabot17,0.0,5.999,0.0,2.8,6.6202719732651465,0
usafabot18,0.0,5.999,0.0,2.6,6.538195546173271,0
usafabot19,0.0,3.599,0.0,0.0,3.599,0
usafabot20,0.0,3.399,0.0,0.0,3.399,0
usafabot21,0.0,3.199,0.0,0.0,3.199,0
usafabot22,0.0,2.799,0.0,0.0,2.799,0
usafabot23,0.0,2.599,0.0,0.0,2.599,0
usafabot24,0.0,2.399,0.0,0.0,2.399,0
